lng,lat
28.9814475,41.1022119
29.0010745,41.0885099
28.9743225,41.1115839
28.9715855,41.1116259
28.9738905,41.0932459
28.9863025,41.0974619
29.0063935,41.0918449
29.0163705,41.0891709
28.9679325,41.1103329
28.9801265,41.1125739
28.9635055,41.1150759
28.9954175,41.0983999
29.0073905,41.0879629
28.9841155,41.0894919
29.0130265,41.0848169
29.0130305,41.0849069
28.9658135,41.1114439
28.9960235,41.0810349
28.9721875,41.1159329
29.0069485,41.0876999
29.0168105,41.0965379
28.9869715,41.0852219
28.9862375,41.0848729
28.9643485,41.1145239
28.9943975,41.0799809
29.0161195,41.0936709
29.0216365,41.0911569
28.9852415,41.1034129
29.0125475,41.0800589
29.0125915,41.0847339
29.0070315,41.0789759
28.9825935,41.1057019
29.0194785,41.0983849
28.9639765,41.1013099
28.9645355,41.1229739
28.9943215,41.0816909
29.0151495,41.0802879
29.0206415,41.0986359
28.9970525,41.0815589
29.0132035,41.0892209
29.0139155,41.0890299
28.9658565,41.1162089
28.9744665,41.1115819
29.0029575,41.0851539
29.0212625,41.0926019
28.9528775,41.1160459
28.9871135,41.0960999
29.0065785,41.0784429
28.9830935,41.1074029
28.9868535,41.0968239
29.0219285,41.0912419
29.0096615,41.0835209
28.9587525,41.1114609
29.0017735,41.0843629
28.9618225,41.1125839
28.9697095,41.1078769
28.9658915,41.1207949
28.9703495,41.1131729
29.0011845,41.0768179
29.0240325,41.0862629
28.9766465,41.1047139
28.9973455,41.0780469
28.9641695,41.1025659
29.0224135,41.0889859
28.9746565,41.1127479
28.9994095,41.0828709
28.9864535,41.0976389
29.0189985,41.0936259
28.9690005,41.1155319
29.0005895,41.0835719
28.9894545,41.0860829
28.9553545,41.1167279
28.9780665,41.1188099
28.9696645,41.1140829
28.9981265,41.0759669
29.0014765,41.0769039
29.0231545,41.0895139
28.9714485,41.1118079
28.9864505,41.0975489
29.0237475,41.0863579
28.9863025,41.0974619
29.0101945,41.0896269
28.9775295,41.1088369
29.0036525,41.0809169
29.0125515,41.0801479
29.0117095,41.0842979
28.9810435,41.1029379
28.9852845,41.0899239
29.0119185,41.0895109
29.0132925,41.0842729
29.0122595,41.0800629
28.9736835,41.0953169
28.9935085,41.0793649
29.0065815,41.0785329
